term	gene
K08117	XP_017898652.1
K05038	XP_017898658.1
K20723	XP_017898659.1
K05038	XP_017898661.1
K05970	XP_017898663.1
K05970	XP_017898664.1
K05970	XP_017898665.1
K05038	XP_017898668.1
K08798	XP_017898669.1
K08798	XP_017898670.1
K08798	XP_017898671.1
K08798	XP_017898672.1
K08798	XP_017898673.1
K08798	XP_017898674.1
K08798	XP_017898675.1
K08798	XP_017898676.1
K08798	XP_017898677.1
K26242	XP_017898685.1
K11429	XP_017898687.1
K11429	XP_017898689.1
K17599	XP_017898690.1
K17599	XP_017898691.1
K14638	XP_017898692.1
K03083	XP_017898693.1
K17638	XP_017898695.1
K19196	XP_017898697.1
K08023	XP_017898698.1
K08023	XP_017898699.1
K08023	XP_017898700.1
K08876	XP_017898703.1
K08876	XP_017898704.1
K03494	XP_017898705.1
K25874	XP_017898706.1
K25874	XP_017898707.1
K24891	XP_017898709.1
K11964	XP_017898710.1
K11671	XP_017898712.1
K11671	XP_017898713.1
K11671	XP_017898714.1
K11671	XP_017898715.1
K06002	XP_017898716.1
K06002	XP_017898720.1
K06002	XP_017898721.1
K24626	XP_017898722.1
K06002	XP_017898723.1
K20647	XP_017898724.1
K20647	XP_017898725.1
K13908	XP_017898731.1
K26226	XP_017898732.1
K26226	XP_017898733.1
K26226	XP_017898734.1
K26226	XP_017898735.1
K26226	XP_017898736.1
K26226	XP_017898737.1
K03068	XP_017898739.1
K03068	XP_017898740.1
K06106	XP_017898741.1
K06106	XP_017898742.1
K06106	XP_017898743.1
K06106	XP_017898744.1
K00029	XP_017898750.1
K11824	XP_017898752.1
K11824	XP_017898753.1
K11253	XP_017898754.1
K01275	XP_017898756.1
K21870	XP_017898758.1
K13902	XP_017898759.1
K04503	XP_017898760.1
K19036	XP_017898765.1
K08796	XP_017898769.1
K04617	XP_017898774.1
K10515	XP_017898778.1
K10515	XP_017898779.1
K10515	XP_017898780.1
K15448	XP_017898784.1
K16729	XP_017898785.1
K04459	XP_017898790.1
K05403	XP_017898791.1
K05403	XP_017898792.1
K05403	XP_017898793.1
K05403	XP_017898794.1
K05403	XP_017898795.1
K17930	XP_017898796.1
K25174	XP_017898799.1
K08765	XP_017898800.1
K20794	XP_017898801.1
K02273	XP_017898803.1
K01950	XP_017898804.1
K01950	XP_017898805.1
K25174	XP_017898808.1
K08396	XP_017898809.1
K09436	XP_017898810.1
K09436	XP_017898811.1
K09436	XP_017898812.1
K09436	XP_017898813.1
K17339	XP_017898815.1
K17906	XP_017898817.1
K17906	XP_017898818.1
K02354	XP_017898819.1
K20464	XP_017898820.1
K20464	XP_017898821.1
K24473	XP_017898822.1
K12483	XP_017898824.1
K13878	XP_017898825.1
K13878	XP_017898826.1
K16295	XP_017898827.1
K16295	XP_017898828.1
K16295	XP_017898829.1
K16295	XP_017898830.1
K16295	XP_017898832.1
K01379	XP_017898833.1
K12361	XP_017898834.1
K05402	XP_017898837.1
K22656	XP_017898839.1
K22656	XP_017898840.1
K22656	XP_017898841.1
K22656	XP_017898842.1
K11462	XP_017898844.1
K11462	XP_017898845.1
K21073	XP_017898846.1
K18932	XP_017898847.1
K11984	XP_017898848.1
K14077	XP_017898850.1
K27703	XP_017898853.1
K17525	XP_017898856.1
K15133	XP_017898860.1
K16817	XP_017898862.1
K16817	XP_017898863.1
K16817	XP_017898864.1
K08670	XP_017898866.1
K08670	XP_017898867.1
K20033	XP_017898869.1
K20033	XP_017898870.1
K20033	XP_017898871.1
K20033	XP_017898872.1
K04735	XP_017898873.1
K11304	XP_017898875.1
K10745	XP_017898879.1
K10994	XP_017898881.1
K06269	XP_017898883.1
K04409	XP_017898884.1
K04409	XP_017898885.1
K07377	XP_017898887.1
K07377	XP_017898888.1
K07377	XP_017898889.1
K07377	XP_017898890.1
K07377	XP_017898891.1
K07377	XP_017898892.1
K07377	XP_017898893.1
K07377	XP_017898894.1
K07377	XP_017898895.1
K13806	XP_017898905.1
K13806	XP_017898906.1
K19907	XP_017898907.1
K14209	XP_017898912.1
K08629	XP_017898913.1
K00213	XP_017898914.1
K00213	XP_017898915.1
K11436	XP_017898916.1
K26161	XP_017898917.1
K01285	XP_017898920.1
K24768	XP_017898922.1
K24768	XP_017898923.1
K24768	XP_017898924.1
K24768	XP_017898925.1
K13881	XP_017898926.1
K24768	XP_017898927.1
K12185	XP_017898930.1
K12183	XP_017898931.1
K09627	XP_017898932.1
K06566	XP_017898934.1
K23972	XP_017898937.1
K06784	XP_017898938.1
K26150	XP_017898939.1
K25420	XP_017898942.1
K07875	XP_017898944.1
K06773	XP_017898945.1
K03968	XP_017898946.1
K25420	XP_017898948.1
K16510	XP_017898951.1
K11515	XP_017898954.1
K23912	XP_017898955.1
K11515	XP_017898956.1
K19908	XP_017898957.1
K12043	XP_017898958.1
K03942	XP_017898959.1
K16746	XP_017898960.1
K16746	XP_017898961.1
K06715	XP_017898964.1
K06715	XP_017898965.1
K20032	XP_017898966.1
K20032	XP_017898967.1
K13051	XP_017898970.1
K10134	XP_017898971.1
K04526	XP_017898972.1
K04526	XP_017898973.1
K04526	XP_017898974.1
K10599	XP_017898976.1
K10407	XP_017898981.1
K05421	XP_017898982.1
K05421	XP_017898983.1
K05421	XP_017898984.1
K09216	XP_017898985.1
K15014	XP_017898986.1
K16506	XP_017898987.1
K01301	XP_017898988.1
K06456	XP_017898989.1
K06456	XP_017898990.1
K06456	XP_017898991.1
K06456	XP_017898992.1
K12233	XP_017898995.1
K08214	XP_017898996.1
K08214	XP_017898997.1
K25663	XP_017898998.1
K25663	XP_017898999.1
K25663	XP_017899000.1
K25663	XP_017899001.1
K19022	XP_017899002.1
K19022	XP_017899003.1
K08394	XP_017899009.1
K23912	XP_017899010.1
K04604	XP_017899011.1
K04604	XP_017899012.1
K04604	XP_017899013.1
K17290	XP_017899014.1
K02892	XP_017899015.1
K16758	XP_017899016.1
K18665	XP_017899017.1
K19918	XP_017899018.1
K12019	XP_017899020.1
K14592	XP_017899021.1
K07530	XP_017899023.1
K13783	XP_017899024.1
K13783	XP_017899025.1
K17927	XP_017899026.1
K25813	XP_017899027.1
K19480	XP_017899028.1
K19480	XP_017899029.1
K19480	XP_017899030.1
K14735	XP_017899031.1
K09993	XP_017899034.1
K09993	XP_017899035.1
K01301	XP_017899037.1
K01301	XP_017899038.1
K14014	XP_017899039.1
K10095	XP_017899040.1
K16817	XP_017899041.1
K02833	XP_017899042.1
K02833	XP_017899043.1
K00129	XP_017899045.1
K00129	XP_017899046.1
K00129	XP_017899047.1
K19912	XP_017899049.1
K18018	XP_017899056.1
K18018	XP_017899057.1
K23912	XP_017899058.1
K23165	XP_017899065.1
K23116	XP_017899066.1
K08842	XP_017899068.1
K00501	XP_017899069.1
K24342	XP_017899071.1
K08203	XP_017899073.1
K04129	XP_017899075.1
K06002	XP_017899076.1
K06002	XP_017899077.1
K05038	XP_017899080.1
K08436	XP_017899081.1
K23531	XP_017899082.1
K04915	XP_017899083.1
K15123	XP_017899086.1
K16817	XP_017899087.1
K09067	XP_017899088.1
K10095	XP_017899089.1
K23278	XP_017899090.1
K20368	XP_017899092.1
K18656	XP_017899093.1
K10490	XP_017899094.1
K24627	XP_017899097.1
K18241	XP_017899104.1
K00002	XP_017899105.1
K10779	XP_017899107.1
K00002	XP_017899108.1
K00002	XP_017899110.1
K24144	XP_017899111.1
K20650	XP_017899112.1
K00901	XP_017899113.1
K02942	XP_017899114.1
K09228	XP_017899115.1
K18668	XP_017899118.1
K11405	XP_017899119.1
K13865	XP_017899120.1
K13986	XP_017899121.1
K09182	XP_017899122.1
K04358	XP_017899125.1
K09205	XP_017899126.1
K13094	XP_017899127.1
K13094	XP_017899128.1
K13094	XP_017899129.1
K13094	XP_017899130.1
K13094	XP_017899131.1
K03178	XP_017899140.1
K03178	XP_017899141.1
K03178	XP_017899142.1
K11835	XP_017899143.1
K11835	XP_017899144.1
K11835	XP_017899149.1
K11835	XP_017899152.1
K08820	XP_017899153.1
K08820	XP_017899154.1
K08820	XP_017899155.1
K00274	XP_017899160.1
K14538	XP_017899161.1
K24516	XP_017899162.1
K20686	XP_017899163.1
K14800	XP_017899165.1
K06099	XP_017899166.1
K24127	XP_017899167.1
K08789	XP_017899168.1
K00274	XP_017899170.1
K08789	XP_017899172.1
K06571	XP_017899173.1
K08789	XP_017899176.1
K09228	XP_017899178.1
K24127	XP_017899180.1
K12891	XP_017899183.1
K10366	XP_017899184.1
K00864	XP_017899185.1
K24127	XP_017899187.1
K24127	XP_017899190.1
K08636	XP_017899192.1
K06087	XP_017899193.1
K12470	XP_017899194.1
K20796	XP_017899196.1
K27846	XP_017899197.1
K24127	XP_017899198.1
K24127	XP_017899199.1
K10889	XP_017899202.1
K25527	XP_017899203.1
K23413	XP_017899205.1
K10347	XP_017899206.1
K16271	XP_017899211.1
K24127	XP_017899213.1
K03136	XP_017899214.1
K24127	XP_017899215.1
K03130	XP_017899216.1
K16271	XP_017899217.1
K10592	XP_017899218.1
K10592	XP_017899219.1
K10592	XP_017899220.1
K10592	XP_017899221.1
K10592	XP_017899222.1
K10592	XP_017899223.1
K10592	XP_017899224.1
K10592	XP_017899225.1
K10592	XP_017899226.1
K10592	XP_017899227.1
K00750	XP_017899229.1
K06520	XP_017899234.1
K19941	XP_017899235.1
K04375	XP_017899237.1
K26957	XP_017899238.1
K04508	XP_017899239.1
K04508	XP_017899240.1
K04508	XP_017899241.1
K11464	XP_017899243.1
K24144	XP_017899245.1
K24144	XP_017899246.1
K11447	XP_017899253.1
K11447	XP_017899254.1
K03136	XP_017899262.1
K01131	XP_017899263.1
K01131	XP_017899264.1
K17623	XP_017899265.1
K04372	XP_017899266.1
K20004	XP_017899267.1
K20631	XP_017899270.1
K20631	XP_017899271.1
K03125	XP_017899276.1
K03125	XP_017899277.1
K03133	XP_017899279.1
K04373	XP_017899280.1
K04373	XP_017899281.1
K04373	XP_017899282.1
K04373	XP_017899283.1
K04373	XP_017899284.1
K05720	XP_017899285.1
K12793	XP_017899291.1
K12793	XP_017899292.1
K12793	XP_017899293.1
K07555	XP_017899295.1
K19478	XP_017899297.1
K27541	XP_017899298.1
K27541	XP_017899299.1
K27541	XP_017899301.1
K27541	XP_017899302.1
K27541	XP_017899303.1
K27541	XP_017899304.1
K08285	XP_017899306.1
K24203	XP_017899308.1
K03136	XP_017899312.1
K15156	XP_017899314.1
K18625	XP_017899315.1
K18625	XP_017899316.1
K08557	XP_017899319.1
K24400	XP_017899320.1
K07425	XP_017899321.1
K24400	XP_017899322.1
K00898	XP_017899324.1
K09228	XP_017899326.1
K09228	XP_017899327.1
K09228	XP_017899328.1
K09228	XP_017899329.1
K12041	XP_017899332.1
K12041	XP_017899333.1
K04743	XP_017899334.1
K04743	XP_017899335.1
K07190	XP_017899336.1
K07190	XP_017899337.1
K07190	XP_017899338.1
K16271	XP_017899341.1
K16271	XP_017899342.1
K16271	XP_017899343.1
K16271	XP_017899344.1
K16271	XP_017899345.1
K08867	XP_017899346.1
K26808	XP_017899348.1
K06911	XP_017899349.1
K21098	XP_017899351.1
K21098	XP_017899352.1
K07899	XP_017899360.1
K07899	XP_017899361.1
K07378	XP_017899362.1
K15162	XP_017899363.1
K17536	XP_017899365.1
K17536	XP_017899366.1
K09068	XP_017899368.1
K10469	XP_017899371.1
K05012	XP_017899372.1
K08824	XP_017899374.1
K08824	XP_017899375.1
K12464	XP_017899377.1
K12464	XP_017899378.1
K19584	XP_017899382.1
K25757	XP_017899384.1
K18403	XP_017899385.1
K12394	XP_017899389.1
K12394	XP_017899390.1
K10452	XP_017899397.1
K10395	XP_017899399.1
K18625	XP_017899406.1
K09398	XP_017899407.1
K01937	XP_017899408.1
K01937	XP_017899409.1
K17361	XP_017899411.1
K19514	XP_017899412.1
K00802	XP_017899414.1
K19522	XP_017899416.1
K09397	XP_017899417.1
K19607	XP_017899418.1
K09228	XP_017899420.1
K09228	XP_017899421.1
K09228	XP_017899422.1
K09228	XP_017899423.1
K10633	XP_017899424.1
K25185	XP_017899425.1
K23818	XP_017899426.1
K10420	XP_017899428.1
K10420	XP_017899429.1
K00948	XP_017899432.1
K00948	XP_017899433.1
K08451	XP_017899434.1
K14389	XP_017899435.1
K08451	XP_017899436.1
K08451	XP_017899437.1
K23917	XP_017899442.1
K20632	XP_017899444.1
K20632	XP_017899445.1
K20686	XP_017899446.1
K20068	XP_017899447.1
K20068	XP_017899448.1
K20068	XP_017899449.1
K23224	XP_017899454.1
K12374	XP_017899455.1
K17986	XP_017899457.1
K22156	XP_017899458.1
K22156	XP_017899459.1
K21771	XP_017899462.1
K21771	XP_017899463.1
K27354	XP_017899464.1
K07190	XP_017899469.1
K05480	XP_017899470.1
K05480	XP_017899471.1
K05480	XP_017899472.1
K05480	XP_017899473.1
K18625	XP_017899474.1
K08896	XP_017899476.1
K08518	XP_017899478.1
K25862	XP_017899479.1
K16521	XP_017899481.1
K16521	XP_017899482.1
K01053	XP_017899483.1
K01053	XP_017899484.1
K01053	XP_017899485.1
K23439	XP_017899486.1
K24625	XP_017899487.1
K04373	XP_017899489.1
K24369	XP_017899491.1
K09452	XP_017899492.1
K09228	XP_017899493.1
K08470	XP_017899494.1
K03267	XP_017899497.1
K24682	XP_017899498.1
K00968	XP_017899499.1
K07378	XP_017899502.1
K07378	XP_017899503.1
K13807	XP_017899504.1
K13807	XP_017899505.1
K13807	XP_017899506.1
K13807	XP_017899507.1
K13807	XP_017899508.1
K18222	XP_017899509.1
K24209	XP_017899512.1
K08391	XP_017899514.1
K08518	XP_017899517.1
K06622	XP_017899520.1
K07766	XP_017899521.1
K07766	XP_017899522.1
K07766	XP_017899523.1
K08636	XP_017899525.1
K04274	XP_017899526.1
K22527	XP_017899527.1
K11980	XP_017899531.1
K11980	XP_017899533.1
K07766	XP_017899534.1
K24574	XP_017899535.1
K24943	XP_017899537.1
K24943	XP_017899540.1
K13126	XP_017899541.1
K12374	XP_017899542.1
K05194	XP_017899544.1
K19407	XP_017899545.1
K05170	XP_017899546.1
K27702	XP_017899547.1
K11251	XP_017899548.1
K08562	XP_017899549.1
K12472	XP_017899550.1
K08518	XP_017899551.1
K20465	XP_017899552.1
K24127	XP_017899553.1
K08455	XP_017899556.1
K08109	XP_017899557.1
K02987	XP_017899558.1
K08518	XP_017899561.1
K16530	XP_017899562.1
K13169	XP_017899563.1
K17086	XP_017899568.1
K14208	XP_017899570.1
K04895	XP_017899571.1
K07919	XP_017899573.1
K04167	XP_017899574.1
K05077	XP_017899577.1
K09267	XP_017899578.1
K21436	XP_017899580.1
K06108	XP_017899582.1
K24520	XP_017899583.1
K12322	XP_017899585.1
K11252	XP_017899586.1
K25679	XP_017899587.1
K14284	XP_017899591.1
K11252	XP_017899592.1
K11252	XP_017899593.1
K11252	XP_017899594.1
K11252	XP_017899595.1
K11252	XP_017899596.1
K07961	XP_017899597.1
K14284	XP_017899599.1
K19408	XP_017899600.1
K10418	XP_017899601.1
K04506	XP_017899602.1
K05741	XP_017899603.1
K16498	XP_017899604.1
K04968	XP_017899607.1
K05733	XP_017899608.1
K05733	XP_017899609.1
K05733	XP_017899610.1
K05733	XP_017899611.1
K04679	XP_017899612.1
K04679	XP_017899614.1
K12879	XP_017899615.1
K12879	XP_017899616.1
K12879	XP_017899617.1
K12879	XP_017899618.1
K12879	XP_017899620.1
K12879	XP_017899621.1
K12879	XP_017899622.1
K12879	XP_017899623.1
K18260	XP_017899626.1
K09229	XP_017899627.1
K18260	XP_017899633.1
K26197	XP_017899636.1
K26197	XP_017899637.1
K26197	XP_017899638.1
K18260	XP_017899639.1
K26197	XP_017899640.1
K26234	XP_017899641.1
K26233	XP_017899642.1
K26233	XP_017899643.1
K18260	XP_017899644.1
K04506	XP_017899645.1
K11252	XP_017899646.1
K06671	XP_017899647.1
K06671	XP_017899648.1
K06671	XP_017899649.1
K06671	XP_017899650.1
K24473	XP_017899651.1
K02905	XP_017899652.1
K02603	XP_017899654.1
K04725	XP_017899655.1
K04725	XP_017899656.1
K06237	XP_017899657.1
K06237	XP_017899658.1
K06237	XP_017899659.1
K10507	XP_017899660.1
K13107	XP_017899662.1
K26189	XP_017899663.1
K26189	XP_017899664.1
K26189	XP_017899665.1
K01897	XP_017899666.1
K11727	XP_017899667.1
K11727	XP_017899668.1
K11727	XP_017899669.1
K13291	XP_017899670.1
K11727	XP_017899671.1
K11727	XP_017899672.1
K14365	XP_017899676.1
K21853	XP_017899677.1
K21853	XP_017899678.1
K13291	XP_017899679.1
K01099	XP_017899682.1
K01099	XP_017899683.1
K26199	XP_017899684.1
K26199	XP_017899685.1
K26199	XP_017899686.1
K16819	XP_017899687.1
K10609	XP_017899688.1
K00432	XP_017899689.1
K26769	XP_017899691.1
K26934	XP_017899692.1
K26934	XP_017899693.1
K26934	XP_017899694.1
K26934	XP_017899695.1
K26934	XP_017899696.1
K25778	XP_017899697.1
K25778	XP_017899698.1
K14328	XP_017899699.1
K14328	XP_017899700.1
K08102	XP_017899703.1
K13093	XP_017899704.1
K10350	XP_017899705.1
K17278	XP_017899706.1
K13180	XP_017899707.1
K13180	XP_017899708.1
K05076	XP_017899711.1
K13107	XP_017899712.1
K07839	XP_017899714.1
K07839	XP_017899715.1
K07839	XP_017899716.1
K10315	XP_017899719.1
K14943	XP_017899720.1
K25931	XP_017899725.1
K08110	XP_017899737.1
K16807	XP_017899739.1
K23310	XP_017899740.1
K23310	XP_017899741.1
K00760	XP_017899742.1
K00760	XP_017899743.1
K02889	XP_017899745.1
K08838	XP_017899747.1
K05199	XP_017899748.1
K10647	XP_017899750.1
K24135	XP_017899751.1
K03945	XP_017899752.1
K24982	XP_017899753.1
K24982	XP_017899754.1
K26187	XP_017899756.1
K25833	XP_017899757.1
K25833	XP_017899758.1
K08764	XP_017899759.1
K01540	XP_017899761.1
K01540	XP_017899762.1
K01540	XP_017899763.1
K01540	XP_017899764.1
K26190	XP_017899768.1
K25037	XP_017899769.1
K23386	XP_017899771.1
K10442	XP_017899772.1
K25037	XP_017899773.1
K05225	XP_017899775.1
K05225	XP_017899776.1
K12465	XP_017899778.1
K17780	XP_017899785.1
K08766	XP_017899786.1
K10447	XP_017899789.1
K07900	XP_017899793.1
K07900	XP_017899794.1
K11113	XP_017899796.1
K18487	XP_017899800.1
K17446	XP_017899801.1
K05271	XP_017899802.1
K05170	XP_017899804.1
K20052	XP_017899806.1
K20052	XP_017899807.1
K24127	XP_017899809.1
K05185	XP_017899813.1
K05175	XP_017899818.1
K11296	XP_017899819.1
K00036	XP_017899827.1
K00036	XP_017899828.1
K00036	XP_017899829.1
K07210	XP_017899833.1
K23388	XP_017899838.1
K24915	XP_017899840.1
K08855	XP_017899842.1
K08855	XP_017899843.1
K09232	XP_017899844.1
K22988	XP_017899847.1
K22988	XP_017899848.1
K02540	XP_017899852.1
K06818	XP_017899853.1
K08008	XP_017899854.1
K14315	XP_017899855.1
K14407	XP_017899856.1
K04371	XP_017899857.1
K25459	XP_017899858.1
K14158	XP_017899859.1
K26225	XP_017899861.1
K17502	XP_017899864.1
K17502	XP_017899865.1
K17502	XP_017899866.1
K00888	XP_017899869.1
K03912	XP_017899870.1
K10598	XP_017899872.1
K10598	XP_017899873.1
K19369	XP_017899884.1
K04552	XP_017899886.1
K08878	XP_017899887.1
K08878	XP_017899888.1
K03165	XP_017899889.1
K19369	XP_017899890.1
K03165	XP_017899891.1
K08509	XP_017899892.1
K04535	XP_017899893.1
K04535	XP_017899894.1
K25459	XP_017899895.1
K24384	XP_017899898.1
K07922	XP_017899899.1
K10334	XP_017899904.1
K19369	XP_017899905.1
K20863	XP_017899906.1
K27818	XP_017899907.1
K27818	XP_017899908.1
K03039	XP_017899910.1
K19369	XP_017899911.1
K08504	XP_017899913.1
K00522	XP_017899915.1
K11405	XP_017899916.1
K12885	XP_017899918.1
K12885	XP_017899920.1
K11583	XP_017899922.1
K00543	XP_017899925.1
K24637	XP_017899927.1
K24637	XP_017899928.1
K24637	XP_017899929.1
K11170	XP_017899931.1
K25435	XP_017899932.1
K13169	XP_017899933.1
K18584	XP_017899934.1
K24127	XP_017899935.1
K24127	XP_017899936.1
K00948	XP_017899937.1
K23959	XP_017899938.1
K10365	XP_017899942.1
K23678	XP_017899943.1
K23678	XP_017899944.1
K15303	XP_017899946.1
K24413	XP_017899947.1
K24412	XP_017899949.1
K24675	XP_017899950.1
K24675	XP_017899951.1
K24675	XP_017899952.1
K24675	XP_017899953.1
K18083	XP_017899955.1
K04715	XP_017899956.1
K23554	XP_017899957.1
K23554	XP_017899958.1
K12495	XP_017899959.1
K09266	XP_017899961.1
K18204	XP_017899962.1
K12357	XP_017899963.1
K06744	XP_017899964.1
K09675	XP_017899965.1
K07986	XP_017899967.1
K24127	XP_017899968.1
K24127	XP_017899969.1
K01353	XP_017899972.1
K00161	XP_017899974.1
K13986	XP_017899975.1
K10263	XP_017899978.1
K03999	XP_017899981.1
K03173	XP_017899982.1
K03627	XP_017899990.1
K01112	XP_017899991.1
K18183	XP_017899996.1
K07423	XP_017899997.1
K23443	XP_017900003.1
K11840	XP_017900004.1
K11840	XP_017900005.1
K11840	XP_017900006.1
K11840	XP_017900007.1
K06237	XP_017900009.1
K19619	XP_017900010.1
K12417	XP_017900011.1
K17362	XP_017900012.1
K24185	XP_017900015.1
K24185	XP_017900016.1
K24682	XP_017900018.1
K15516	XP_017900020.1
K15516	XP_017900021.1
K15516	XP_017900022.1
K15516	XP_017900023.1
K19478	XP_017900030.1
K09228	XP_017900032.1
K09228	XP_017900033.1
K11284	XP_017900037.1
K11284	XP_017900038.1
K11284	XP_017900039.1
K11284	XP_017900040.1
K11845	XP_017900042.1
K05863	XP_017900044.1
K04737	XP_017900045.1
K04737	XP_017900046.1
K01881	XP_017900049.1
K11285	XP_017900051.1
K04300	XP_017900052.1
K19407	XP_017900053.1
K24933	XP_017900055.1
K08129	XP_017900058.1
K11840	XP_017900059.1
K11840	XP_017900060.1
K06103	XP_017900061.1
K06103	XP_017900062.1
K06103	XP_017900063.1
K06103	XP_017900064.1
K06103	XP_017900065.1
K06103	XP_017900066.1
K06103	XP_017900067.1
K06103	XP_017900068.1
K06103	XP_017900069.1
K06103	XP_017900070.1
K06520	XP_017900073.1
K18081	XP_017900074.1
K18081	XP_017900076.1
K18081	XP_017900077.1
K19512	XP_017900081.1
K01108	XP_017900087.1
K01108	XP_017900088.1
K04257	XP_017900090.1
K15624	XP_017900091.1
K04257	XP_017900093.1
K08607	XP_017900094.1
K04373	XP_017900095.1
K11588	XP_017900096.1
K11588	XP_017900097.1
K04730	XP_017900098.1
K12157	XP_017900100.1
K07425	XP_017900105.1
K11840	XP_017900108.1
K11131	XP_017900110.1
K11131	XP_017900111.1
K21880	XP_017900112.1
K20135	XP_017900113.1
K11251	XP_017900114.1
K11840	XP_017900115.1
K23780	XP_017900116.1
K05463	XP_017900117.1
K18625	XP_017900118.1
K22747	XP_017900120.1
K23330	XP_017900121.1
K23330	XP_017900122.1
K07374	XP_017900124.1
K23208	XP_017900126.1
K01027	XP_017900127.1
K05440	XP_017900128.1
K05440	XP_017900129.1
K15300	XP_017900131.1
K13438	XP_017900133.1
K00735	XP_017900137.1
K08524	XP_017900138.1
K09228	XP_017900140.1
K07198	XP_017900141.1
K09228	XP_017900142.1
K09228	XP_017900143.1
K09228	XP_017900144.1
K26107	XP_017900150.1
K26107	XP_017900151.1
K11447	XP_017900153.1
K11447	XP_017900154.1
K11594	XP_017900160.1
K24273	XP_017900161.1
K23681	XP_017900167.1
K15839	XP_017900169.1
K05439	XP_017900170.1
K20054	XP_017900171.1
K23010	XP_017900176.1
K13865	XP_017900177.1
K05658	XP_017900178.1
K06545	XP_017900179.1
K07986	XP_017900181.1
K00274	XP_017900182.1
K06479	XP_017900183.1
K24127	XP_017900184.1
K23010	XP_017900186.1
K10648	XP_017900187.1
K10648	XP_017900188.1
K04257	XP_017900192.1
K04257	XP_017900193.1
K10392	XP_017900194.1
K05175	XP_017900198.1
K07748	XP_017900199.1
K24423	XP_017900200.1
K24423	XP_017900201.1
K24423	XP_017900202.1
K24423	XP_017900203.1
K24423	XP_017900204.1
K24423	XP_017900205.1
K24423	XP_017900206.1
K05012	XP_017900210.1
K05012	XP_017900211.1
K05440	XP_017900213.1
K05414	XP_017900214.1
K05440	XP_017900215.1
K26226	XP_017900216.1
K11865	XP_017900217.1
K04257	XP_017900218.1
K07414	XP_017900219.1
K07414	XP_017900220.1
K15194	XP_017900221.1
K09228	XP_017900222.1
K16939	XP_017900225.1
K16939	XP_017900226.1
K16939	XP_017900227.1
K16939	XP_017900228.1
K26458	XP_017900229.1
K04448	XP_017900231.1
K05863	XP_017900232.1
K15120	XP_017900233.1
K08798	XP_017900235.1
K07986	XP_017900236.1
K26934	XP_017900238.1
K26934	XP_017900239.1
K26934	XP_017900240.1
K26934	XP_017900241.1
K26934	XP_017900242.1
K16570	XP_017900243.1
K16570	XP_017900244.1
K09568	XP_017900246.1
K06099	XP_017900248.1
K25552	XP_017900249.1
K07986	XP_017900252.1
K24127	XP_017900255.1
K08832	XP_017900256.1
K00030	XP_017900258.1
K00030	XP_017900259.1
K16612	XP_017900260.1
K04571	XP_017900262.1
K04571	XP_017900263.1
K06821	XP_017900264.1
K06821	XP_017900265.1
K05675	XP_017900266.1
K14009	XP_017900268.1
K14009	XP_017900269.1
K05041	XP_017900270.1
K08795	XP_017900271.1
K08795	XP_017900272.1
K07418	XP_017900273.1
K23964	XP_017900274.1
K24056	XP_017900280.1
K18498	XP_017900281.1
K18498	XP_017900282.1
K19721	XP_017900283.1
K07418	XP_017900285.1
K13865	XP_017900287.1
K24319	XP_017900288.1
K22182	XP_017900289.1
K22182	XP_017900290.1
K00545	XP_017900292.1
K11293	XP_017900302.1
K11293	XP_017900303.1
K17421	XP_017900305.1
K15332	XP_017900308.1
K15306	XP_017900309.1
K13118	XP_017900316.1
K13866	XP_017900317.1
K13866	XP_017900318.1
K05221	XP_017900319.1
K07374	XP_017900320.1
K07374	XP_017900321.1
K16574	XP_017900322.1
K15157	XP_017900323.1
K15157	XP_017900324.1
K06628	XP_017900327.1
K14016	XP_017900328.1
K24732	XP_017900330.1
K12353	XP_017900336.1
K12353	XP_017900337.1
K10459	XP_017900338.1
K10459	XP_017900339.1
K10459	XP_017900340.1
K10459	XP_017900341.1
K00318	XP_017900343.1
K00318	XP_017900344.1
K15100	XP_017900352.1
K09228	XP_017900353.1
K20030	XP_017900354.1
K06262	XP_017900356.1
K04557	XP_017900357.1
K16659	XP_017900358.1
K06087	XP_017900359.1
K10175	XP_017900360.1
K09325	XP_017900361.1
K05747	XP_017900365.1
K11419	XP_017900366.1
K24799	XP_017900368.1
K14992	XP_017900369.1
K16821	XP_017900370.1
K16821	XP_017900371.1
K16821	XP_017900372.1
K16821	XP_017900373.1
K16821	XP_017900374.1
K14452	XP_017900376.1
K24896	XP_017900378.1
K13963	XP_017900381.1
K27541	XP_017900382.1
K27541	XP_017900383.1
K27541	XP_017900384.1
K03242	XP_017900385.1
K03242	XP_017900386.1
K13526	XP_017900389.1
K25406	XP_017900390.1
K25406	XP_017900391.1
K25406	XP_017900392.1
K25406	XP_017900393.1
K13865	XP_017900395.1
K23028	XP_017900396.1
K23028	XP_017900397.1
K23028	XP_017900398.1
K23028	XP_017900399.1
K08878	XP_017900400.1
K01431	XP_017900401.1
K04266	XP_017900402.1
K04266	XP_017900403.1
K04266	XP_017900404.1
K06092	XP_017900407.1
K11845	XP_017900408.1
K06092	XP_017900409.1
K11845	XP_017900410.1
K11845	XP_017900411.1
K11845	XP_017900412.1
K11845	XP_017900413.1
K11845	XP_017900414.1
K24329	XP_017900415.1
K06092	XP_017900416.1
K09228	XP_017900419.1
K00716	XP_017900420.1
K00716	XP_017900421.1
K00716	XP_017900422.1
